region,division,state,statecode,countycode,fipscode,county,year,county_ranked,mental_health_days,mental_distress_rate,inequality,median_inc,hs_grad,college,unempl,child_poverty,single_parent,severe_housing,food_index,mh_providers,pop_provider_ratio,pop,pct_below18,pct_black,pct_native_am,pct_asian,pct_pacific,pct_hispanic,pct_white,pct_female,pct_rural
West,Mountain,NM,35,19,35019,Guadalupe County,2016,1,3.5,0.111,4.05977096,29147,,0.336669049,0.075941677,0.331,0.309232481,0.101818182,6.4,0.013876455,72.06451613,4468,0.206580125,0.01477171,0.028424351,0.010966876,0,0.794091316,0.162712623,0.433527305,0.440793685
West,Mountain,NM,35,21,35021,Harding County,2016,0,3.6,0.111,3.73120915,40380,,0.76119403,0.043076923,0.19,0.33,0.118367347,5,0,-683,683,0.147877013,0.007320644,0.014641288,0.007320644,0,0.43045388,0.549048316,0.469985359,1
West,Mountain,NM,35,23,35023,Hidalgo County,2016,1,3.8,0.122,4.4934375,34304,,0.539315449,0.070766227,0.336,0.411458333,0.115068493,6.5,0.001535088,651.4285714,4560,0.233333333,0.007675439,0.011622807,0.005921053,0.000877193,0.572149123,0.402192983,0.493640351,1
West,Mountain,NM,35,1,35001,Bernalillo County,2016,1,3.7,0.112,5.050058623,47192,0.689389567,0.66228144,0.061121766,0.245,0.40824503,0.178196031,7,0.003776177,264.8181105,675551,0.229064867,0.02498257,0.058344966,0.027309559,0.001557247,0.489752809,0.402062909,0.509792747,0.041955192
West,Mountain,NM,35,3,35003,Catron County,2016,1,3.6,0.115,4.145124412,33256,,0.471751412,0.071428571,0.428,0.233396584,0.12202381,2.7,0.000843645,1185.333333,3556,0.140326209,0.005624297,0.032620922,0.003093363,0,0.197975253,0.748593926,0.480314961,1
West,Mountain,NM,35,5,35005,Chaves County,2016,1,3.8,0.119,4.62007188,38403,0.708470745,0.541626916,0.060168606,0.324,0.367364206,0.161043921,6.4,0.000956313,1045.68254,65878,0.271972434,0.015756398,0.022268436,0.009957801,0.002595707,0.549151462,0.408467167,0.501609035,0.2424861
West,Mountain,NM,35,6,35006,Cibola County,2016,1,4.4,0.142,5.016551817,35081,0.67,0.44337283,0.079915292,0.376,0.547777442,0.1894081,5.2,0.002193865,455.8166667,27349,0.244579327,0.010347728,0.417090204,0.006069692,0.001352883,0.377637208,0.208490256,0.489231782,0.553448719
West,Mountain,NM,35,59,35059,Union County,2016,1,3.4,0.108,3.896930476,36684,,0.440649018,0.050837321,0.237,0.192650334,0.155688623,6.4,0.008377938,119.3611111,4297,0.1850128,0.017221317,0.030253665,0.005818013,0.000465441,0.409820805,0.539911566,0.431231092,1
West,Mountain,NM,35,13,35013,Dona Ana County,2016,1,4.1,0.128,5.228942091,38974,0.710230819,0.612912137,0.07173969,0.394,0.389820348,0.182960989,5.7,0.002358711,423.9603175,213676,0.254305584,0.014905745,0.023479474,0.013380071,0.001853273,0.667983302,0.28807634,0.507820251,0.192904561
West,Mountain,NM,35,15,35015,Eddy County,2016,1,3.4,0.102,4.624434389,57007,0.765857339,0.488820013,0.042940345,0.185,0.346816321,0.126598145,7,0.001063924,939.9166667,56395,0.262523273,0.012678429,0.023548187,0.008121287,0.00111712,0.463888643,0.495965954,0.494866566,0.208549295
West,Mountain,NM,35,29,35029,Luna County,2016,1,4.1,0.136,4.538393927,27268,0.64,0.37065053,0.180457498,0.383,0.477279612,0.175178473,4.8,0.001215904,822.4333333,24673,0.259352329,0.009281401,0.023183237,0.007660195,0.001864386,0.648644267,0.320431241,0.499696024,0.406136681
West,Mountain,NM,35,31,35031,McKinley County,2016,1,5,0.175,7.088698737,29497,0.711469136,0.453435705,0.098327591,0.429,0.483151635,0.283675799,2.4,0.001457529,686.0925926,74098,0.306526492,0.008407784,0.768347324,0.009190532,0.000701773,0.139639397,0.097640962,0.519757618,0.573784479
